========================= TABLE 3: SORTED BY BLENDED P/E =========================

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
PAGYO   |      7.71       N/A      7.71  |       0.85      11.35 |       0.9216
RAYSG   |      7.74       N/A      7.74  |       3.24       0.93 |       1.3296
NTGAZ   |      7.90       N/A      7.90  |       1.30       0.97 |       0.8549
KOCMT   |      8.00       N/A      8.00  |       0.72       0.55 |       0.6420
ISMEN   |      8.00       N/A      8.00  |       1.73       0.03 |       0.9516
PCILT   |      8.05       N/A      8.05  |       1.75       0.34 |       0.9649
TTKOM   |      8.03      8.32      8.12  |       0.88       0.87 |       0.7413
PGSUS   |     10.18      4.84      8.58  |       0.76       0.54 |       0.6803
MACKO   |      8.59       N/A      8.59  |       4.14       3.37 |       1.6573
GENTS   |      8.72       N/A      8.72  |       1.34       0.91 |       0.9168
ULKER   |     11.17      3.47      8.86  |       0.75       0.33 |       0.6811
LMKDC   |      8.99       N/A      8.99  |       1.64       1.63 |       1.0250
TRGYO   |     11.86      2.42      9.03  |       0.68       5.87 |       0.7568
GSDDE   |      9.16       N/A      9.16  |       0.68       3.08 |       0.7034
AGESA   |      7.35     13.82      9.29  |       4.35       0.93 |       1.7062
OZSUB   |      9.35       N/A      9.35  |       3.08       1.27 |       1.4006
YBTAS   |      9.51       N/A      9.51  |       2.90       2.61 |       1.3925
SISE    |     11.86      4.21      9.57  |       0.33       0.60 |       0.4752
DESA    |      9.80       N/A      9.80  |       1.19       1.37 |       0.9590
DOAS    |     13.41      1.66      9.88  |       0.59       0.16 |       0.6157
KLNMA   |      9.90       N/A      9.90  |       2.65       5.34 |       1.4098
ATATP   |      9.94       N/A      9.94  |       4.62       0.79 |       1.8139
IDGYO   |     10.02       N/A     10.02  |       1.92      29.13 |       1.7119
HALKB   |     10.27      9.70     10.10  |       1.37       1.84 |       1.0337
AEFES   |     14.54      0.70     10.39  |       1.06       0.51 |       0.8993
PLTUR   |     10.56       N/A     10.56  |       0.62       0.71 |       0.6679
ZRGYO   |     10.83       N/A     10.83  |       1.06      23.42 |       1.3715
PAHOL   |     10.86       N/A     10.86  |       0.70       5.32 |       0.8121
AYGAZ   |      9.03     15.23     10.89  |       0.65       0.62 |       0.6892
GEDIK   |     10.92       N/A     10.92  |       2.63       0.03 |       1.3649
PNLSN   |     11.15       N/A     11.15  |       0.99       1.05 |       0.8952
YGGYO   |     11.29       N/A     11.29  |       1.94      17.82 |       1.5712
KRGYO   |     11.39       N/A     11.39  |       0.65       8.66 |       0.8681
BRYAT   |     11.40       N/A     11.40  |       1.48     277.72 |       6.6628
MEGMT   |     11.47       N/A     11.47  |       4.46       0.79 |       1.8722
OYAKC   |     11.48       N/A     11.48  |       1.45       1.87 |       1.1420
TCELL   |     12.73      8.58     11.49  |       0.90       0.95 |       0.8532
YUNSA   |     11.50       N/A     11.50  |       1.05       1.42 |       0.9452
CIMSA   |     13.30      7.93     11.69  |       1.29       0.98 |       1.0755
SURGY   |     11.82       N/A     11.82  |       1.27        N/A |       1.2477
INDES   |     11.88       N/A     11.88  |       1.28       0.09 |       1.0532
CCOLA   |     13.17      8.87     11.88  |       2.78       1.21 |       1.4886
LYDYE   |     11.88       N/A     11.88  |       7.96     510.20 |      12.9630
ORGE    |     12.08     11.74     11.98  |       2.29       2.41 |       1.3953
MAVI    |     16.18      2.30     12.02  |       2.18       0.63 |       1.3353
RYSAS   |     12.02       N/A     12.02  |       1.85       3.50 |       1.3094
MTRKS   |     12.06       N/A     12.06  |       3.11       2.26 |       1.6035
AVTUR   |     12.12       N/A     12.12  |       0.57      28.25 |       1.2335
TOASO   |     13.33      9.70     12.24  |       2.61       0.39 |       1.4516
CRDFA   |     12.32       N/A     12.32  |       6.13      10.14 |       2.5314
VKGYO   |     12.36       N/A     12.36  |       0.35       6.66 |       0.6874
TUPRS   |     13.10     10.84     12.42  |       1.23       0.49 |       1.0494
SANEL   |     12.49       N/A     12.49  |       6.84       4.40 |       2.6069
NTHOL   |     12.55       N/A     12.55  |       0.26       0.78 |       0.5283
MPARK   |     14.35      8.79     12.68  |       2.04       1.47 |       1.3590
KZBGY   |     12.80       N/A     12.80  |       0.42       6.32 |       0.7360
AKSA    |     10.62     19.19     13.20  |       1.38       1.35 |       1.1746
BRKVY   |     13.20       N/A     13.20  |       3.79       2.76 |       1.8581
LIDER   |     13.31       N/A     13.31  |       7.05      36.72 |       3.3590
ICBCT   |     13.43       N/A     13.43  |       3.82       3.32 |       1.8911
GLCVY   |     13.54       N/A     13.54  |       1.95       1.02 |       1.3845
TATGD   |     13.56       N/A     13.56  |       0.63       0.58 |       0.7576
SKBNK   |     13.70       N/A     13.70  |       1.97       2.31 |       1.4250
LILAK   |     13.77       N/A     13.77  |       1.28       1.68 |       1.1437
EGGUB   |     13.93       N/A     13.93  |       1.17       2.82 |       1.1068
MGROS   |     16.54      8.24     14.05  |       1.37       0.28 |       1.1741
AKSEN   |     13.79     14.88     14.12  |       1.57       2.54 |       1.3320
TBORG   |     14.34       N/A     14.34  |       1.80       1.04 |       1.3983
AKMGY   |     14.60       N/A     14.60  |       0.85       8.10 |       1.0608
TNZTP   |     14.76       N/A     14.76  |       1.13       2.90 |       1.1149
TRCAS   |      7.69     31.40     14.80  |       0.77        N/A |       1.0594
AVPGY   |     15.18       N/A     15.18  |       0.52       3.17 |       0.7955
CWENE   |     15.30       N/A     15.30  |       2.44       2.27 |       1.6464
ENERY   |     15.34       N/A     15.34  |       1.63       2.74 |       1.4040
MOGAN   |     15.45       N/A     15.45  |       0.39       2.54 |       0.7203
OSMEN   |     15.46       N/A     15.46  |       1.07       0.12 |       1.0433
GRSEL   |     15.75       N/A     15.75  |       2.51       2.69 |       1.6997
BLCYT   |     15.89       N/A     15.89  |       0.52       4.07 |       0.8323
BASGZ   |     15.91       N/A     15.91  |       1.00       0.68 |       1.0295
EGPRO   |     16.02       N/A     16.02  |       2.10       1.66 |       1.5951
KCHOL   |     20.16      6.48     16.05  |       0.69       0.18 |       0.8532
BIMAS   |     20.49      6.92     16.42  |       2.31       0.59 |       1.6515
SMRVA   |     16.46       N/A     16.46  |       3.61       4.81 |       2.0650
LOGO    |     19.07     10.43     16.48  |       2.62       2.19 |       1.7645
GWIND   |     16.59       N/A     16.59  |       0.89       4.78 |       1.0706
CGCAM   |     16.61       N/A     16.61  |       0.74       3.30 |       0.9610
SAYAS   |     16.62       N/A     16.62  |       3.28       1.99 |       1.9358
GLRMK   |     16.67       N/A     16.67  |       2.94       1.20 |       1.8372
ASUZU   |     16.74       N/A     16.74  |       0.92       0.51 |       1.0059
SNGYO   |     16.95       N/A     16.95  |       0.26       2.21 |       0.6850
KATMR   |     17.06       N/A     17.06  |       0.59       2.68 |       0.8808
PETUN   |     17.36       N/A     17.36  |       0.37       0.34 |       0.7201
KLSYN   |     17.48       N/A     17.48  |       1.74       3.18 |       1.5334
ENKAI   |     14.55     24.39     17.50  |       1.42       3.39 |       1.3645
SKTAS   |     17.57       N/A     17.57  |       0.82       1.15 |       0.9898
BESLR   |     17.59       N/A     17.59  |       0.50       0.28 |       0.7961
GRTHO   |     17.67       N/A     17.67  |       3.51       4.65 |       2.1133
LINK    |     17.80       N/A     17.80  |     323.64       4.33 |      82.1475
YIGIT   |     18.06       N/A     18.06  |       1.04       0.60 |       1.1179
KARSN   |     18.29       N/A     18.29  |       1.42       0.59 |       1.3314
SAHOL   |     25.06      3.50     18.60  |       0.53       0.77 |       0.8511
A1YEN   |     18.62       N/A     18.62  |       0.55       3.77 |       0.9242
ISKPL   |     18.66       N/A     18.66  |       3.28       3.56 |       2.0990
ARTMS   |     18.74       N/A     18.74  |       1.37       4.74 |       1.4013
TERA    |     19.16       N/A     19.16  |       2.01       0.29 |       1.6741
MOBTL   |     19.16       N/A     19.16  |       1.61       0.84 |       1.4652
KRVGD   |     19.20       N/A     19.20  |       0.83       0.41 |       1.0271
ALARK   |     25.70      4.21     19.26  |       0.54       5.14 |       0.9654
CONSE   |     19.29       N/A     19.29  |       0.90       1.35 |       1.0909
TRMET   |     19.59       N/A     19.59  |       1.55       2.05 |       1.4722
TRENJ   |     20.16       N/A     20.16  |       1.60       1.06 |       1.4952
AKFYE   |     20.23       N/A     20.23  |       0.44       4.52 |       0.9272
TCKRC   |     20.27       N/A     20.27  |       4.57       8.19 |       2.6172
TEHOL   |     20.56       N/A     20.56  |       9.17      18.64 |       3.9968
GOKNR   |     20.67       N/A     20.67  |       0.86       0.56 |       1.0906
TUKAS   |     20.82       N/A     20.82  |       0.59       1.19 |       0.9610
ENJSA   |     23.28     16.36     21.20  |       1.21       0.53 |       1.2979
DERIM   |     21.29       N/A     21.29  |       2.73       0.47 |       2.0702
AFYON   |     21.85       N/A     21.85  |       0.69       1.35 |       1.0499
YYLGD   |     21.94       N/A     21.94  |       0.88       0.49 |       1.1404
SUNTK   |     22.14       N/A     22.14  |       1.72       1.05 |       1.6202
COSMO   |     22.25       N/A     22.25  |       5.96       1.46 |       2.9590
YEOTK   |     22.69       N/A     22.69  |       8.01       1.96 |       3.5105
BNTAS   |     22.79       N/A     22.79  |       0.91       1.17 |       1.1939
ZEDUR   |     22.84       N/A     22.84  |       0.78      13.90 |       1.3783
QNBTR   |     22.88       N/A     22.88  |       5.93       8.31 |       3.1300
BRKSN   |     23.06       N/A     23.06  |       0.90       0.88 |       1.1902
TABGD   |     23.27       N/A     23.27  |       2.39       1.20 |       2.0211
BALSU   |     23.28       N/A     23.28  |       3.46       1.22 |       2.3946
EUREN   |     23.47       N/A     23.47  |       0.83       1.18 |       1.1684
LKMNH   |     23.86       N/A     23.86  |       1.42       0.77 |       1.4964
BASCM   |     23.90       N/A     23.90  |       1.19       0.83 |       1.3726
DOCO    |     22.66     28.03     24.27  |     264.34      52.27 |      68.7013
PSDTC   |     24.31       N/A     24.31  |       4.00      12.59 |       2.8242
THYAO   |     33.21      4.54     24.61  |      20.65      17.85 |       7.1126
ARASE   |     24.68       N/A     24.68  |       1.30       0.83 |       1.4572
ELITE   |     25.03       N/A     25.03  |       1.96       1.80 |       1.8506
DAPGM   |     25.25       N/A     25.25  |       1.65       3.12 |       1.7135
ISDMR   |     25.31       N/A     25.31  |       1.13       1.33 |       1.3912
VBTYZ   |     25.66       N/A     25.66  |       3.14       1.31 |       2.4703
OZRDN   |     25.84       N/A     25.84  |       6.44       3.88 |       3.3604
ATATR   |     26.53       N/A     26.53  |       3.35       4.97 |       2.6544
KBORU   |     26.86       N/A     26.86  |       3.14       2.74 |       2.5709
FONET   |     27.05       N/A     27.05  |       2.99       5.64 |       2.5520
KRONT   |     28.07       N/A     28.07  |       5.59       7.49 |       3.3647
NETCD   |     28.40       N/A     28.40  |       7.03      14.93 |       3.8946
AHGAZ   |     28.49       N/A     28.49  |       1.83       1.65 |       1.8774
BESTE   |     28.99       N/A     28.99  |       1.17      14.74 |       1.7910
PEKGY   |     29.10       N/A     29.10  |       1.31     195.38 |       5.4817
HTTBT   |     29.26       N/A     29.26  |       3.75       6.57 |       2.9623
TRALT   |     29.30       N/A     29.30  |       3.49       7.35 |       2.9140
BOSSA   |     29.55       N/A     29.55  |       0.72       1.30 |       1.2899
FRMPL   |     29.63       N/A     29.63  |       1.57       1.71 |       1.7666
PATEK   |     29.71       N/A     29.71  |       3.90       6.45 |       3.0266
EGEEN   |     29.72       N/A     29.72  |       2.29       4.28 |       2.2166
OFSYM   |     29.81       N/A     29.81  |       1.82       0.46 |       1.8855
GESAN   |     30.34       N/A     30.34  |       2.11       1.46 |       2.0828
ODAS    |     40.19      7.67     30.44  |       0.75       1.25 |       1.3334
AGYO    |     30.69       N/A     30.69  |       0.34        N/A |       1.2876
GEREL   |     30.74       N/A     30.74  |       4.93       6.19 |       3.3460
ULUSE   |     31.22       N/A     31.22  |     165.46       2.77 |      43.4412
SAFKR   |     31.55       N/A     31.55  |       3.85       2.52 |       3.0543
ATSYH   |     31.74       N/A     31.74  |       6.84       8.17 |       3.9265
ARDYZ   |     32.23       N/A     32.23  |       9.06       3.28 |       4.4171
PKART   |     33.00       N/A     33.00  |       6.31       1.14 |       3.7345
ASTOR   |     33.18       N/A     33.18  |       7.18       7.57 |       4.0932
MERCN   |     33.27       N/A     33.27  |       1.87       1.73 |       2.0405
QNBFK   |     33.63       N/A     33.63  |      10.74      30.12 |       5.4627
SEGMN   |     33.78       N/A     33.78  |       1.93       3.24 |       2.1220
TLMAN   |     34.96       N/A     34.96  |       1.11       2.67 |       1.6916
OZYSR   |     35.31       N/A     35.31  |       1.57       0.73 |       1.9168
CMENT   |     35.55       N/A     35.55  |       1.44       1.52 |       1.8655
BALAT   |     36.05       N/A     36.05  |      17.02     377.19 |      14.1322
TAVHL   |     48.71     14.17     38.35  |       1.33       1.20 |       1.8850
GENKM   |     39.34       N/A     39.34  |       1.38       1.79 |       1.9492
FADE    |     40.41       N/A     40.41  |       0.69       1.21 |       1.5944
INVES   |     41.38       N/A     41.38  |       5.40     110.87 |       6.2438
FMIZP   |     41.82       N/A     41.82  |       6.46       6.09 |       4.4436
AYEN    |     42.31       N/A     42.31  |       0.52       1.31 |       1.5576
OZGYO   |     42.80       N/A     42.80  |       0.30       9.88 |       1.6209
BRSAN   |     42.90       N/A     42.90  |       1.99       1.00 |       2.3766
MOPAS   |     43.06       N/A     43.06  |       1.86       0.49 |       2.3020
ALVES   |     44.83       N/A     44.83  |       1.58       0.40 |       2.1946
IZENR   |     45.77       N/A     45.77  |       1.45       2.89 |       2.2022
EKDMR   |     45.90       N/A     45.90  |       1.25       0.98 |       2.0569
TGSAS   |     47.14       N/A     47.14  |       7.06      10.56 |       5.0259
MSGYO   |     47.77       N/A     47.77  |       0.61       2.65 |       1.7932
ARMGD   |     49.15       N/A     49.15  |       6.42       3.63 |       4.8565
ASELS   |     49.51       N/A     49.51  |       5.71       8.68 |       4.7683
MNDRS   |     49.61       N/A     49.61  |       0.19       0.38 |       1.5730
PINSU   |     50.32       N/A     50.32  |       1.29       1.17 |       2.2105
TEZOL   |     50.47       N/A     50.47  |       1.25       1.39 |       2.1972
AKCNS   |     68.79      7.96     50.54  |       1.60       1.77 |       2.4033
YATAS   |     52.11     53.51     52.53  |       0.57       0.25 |       1.8612
DGATE   |     52.62       N/A     52.62  |      11.22       0.22 |       6.2138
DURKN   |     54.32       N/A     54.32  |       1.15       2.64 |       2.2841
EMKEL   |     56.15       N/A     56.15  |       2.72       2.94 |       3.2064
PENTA   |     56.96       N/A     56.96  |       1.22       0.16 |       2.3491
LUKSK   |     58.44       N/A     58.44  |       1.80       6.30 |       2.8329
CLEBI   |     11.76    171.98     59.83  |       4.75       1.99 |       4.4107
GSDHO   |     60.70       N/A     60.70  |       0.46       1.02 |       2.0596
SEKUR   |     61.35       N/A     61.35  |       2.49       1.15 |       3.1965
EBEBK   |     63.21       N/A     63.21  |       2.33       0.40 |       3.1482
RALYH   |     64.88       N/A     64.88  |       8.87       6.95 |       6.5544
DNISI   |     64.88       N/A     64.88  |       1.75       4.95 |       2.9710
EUPWR   |     66.62       N/A     66.62  |       4.34       3.52 |       4.4145
GENIL   |     67.00       N/A     67.00  |       3.58       2.03 |       3.9828
PASEU   |     68.40       N/A     68.40  |      18.28      31.90 |       9.6340
TATEN   |     69.65       N/A     69.65  |       2.91       5.46 |       3.7574
KONYA   |     71.47       N/A     71.47  |       4.01       3.04 |       4.3705
SARKY   |     75.60       N/A     75.60  |       2.05       0.31 |       3.3570
PRZMA   |     76.33       N/A     76.33  |       9.16      42.96 |       8.0876
BARMA   |     78.92       N/A     78.92  |       3.99       4.77 |       4.6104
TDGYO   |     82.89       N/A     82.89  |       1.89     317.06 |       9.8206
MARTI   |     85.50       N/A     85.50  |       0.35       1.60 |       2.7400
GEDZA   |     85.61       N/A     85.61  |       1.27       1.31 |       3.2439
KUYAS   |     87.41       N/A     87.41  |      15.91      27.98 |      10.1920
SELEC   |    114.49     25.80     87.88  |       3.86       0.76 |       4.7207
AAGYO   |     88.22       N/A     88.22  |       0.69      11.78 |       3.2110
NATEN   |     92.57       N/A     92.57  |       0.82       4.04 |       3.2544
ISBIR   |     93.20       N/A     93.20  |       0.31       0.25 |       2.9190
OYAYO   |     97.14       N/A     97.14  |       6.42       2.37 |       6.4374
OYLUM   |     98.50       N/A     98.50  |       0.58       0.85 |       3.2346
DOHOL   |     18.73    291.71    100.63  |       0.58       0.56 |       3.2900
SANFM   |    108.25       N/A    108.25  |       5.69       2.70 |       6.3646
KLRHO   |    108.57       N/A    108.57  |       4.53      13.34 |       5.9494
SAMAT   |    108.67       N/A    108.67  |       1.31      20.65 |       4.3283
KMPUR   |    112.35       N/A    112.35  |       2.43       0.71 |       4.6525
BFREN   |    114.20       N/A    114.20  |      23.76       5.44 |      13.4375
KTLEV   |    116.76       N/A    116.76  |      23.71      22.36 |      13.9304
ISYAT   |    117.43       N/A    117.43  |       2.56       1.35 |       4.8914
ULUUN   |    118.50       N/A    118.50  |       0.52       0.11 |       3.7725
DOFRB   |    119.42       N/A    119.42  |      13.46      26.34 |      11.4411
KCAER   |    124.17       N/A    124.17  |       2.09       1.23 |       4.8260
MEDTR   |    124.35       N/A    124.35  |       1.17       0.99 |       4.3222
UCAYM   |    125.41       N/A    125.41  |       1.94       2.71 |       4.8068
IZINV   |    126.76       N/A    126.76  |       3.07      11.95 |       5.6560
SDTTR   |    127.49       N/A    127.49  |       5.80       6.39 |       7.0668
ONCSM   |    131.58       N/A    131.58  |      14.65       8.18 |      12.0911
PRDGS   |    143.00       N/A    143.00  |       0.62      40.75 |       5.3595
DMRGD   |    145.00       N/A    145.00  |       9.97      13.95 |      10.0295
SUMAS   |    145.73       N/A    145.73  |       4.62       3.56 |       6.8977
OTTO    |    150.09       N/A    150.09  |       1.99       3.55 |       5.5781
UFUK    |    154.76       N/A    154.76  |      33.27        N/A |      18.5320
DUNYH   |    155.56       N/A    155.56  |       2.79      31.13 |       6.7347
KRDMA   |    160.00       N/A    160.00  |       4.77       0.75 |       7.3431
KRDMD   |    161.04       N/A    161.04  |       4.80       0.72 |       7.3917
SEYKM   |    163.33       N/A    163.33  |       1.98       3.91 |       5.9732
AKFIS   |    176.79       N/A    176.79  |       1.33       4.63 |       6.0219
RODRG   |    180.71       N/A    180.71  |      10.30       9.22 |      11.1653
YAPRK   |    199.33       N/A    199.33  |       5.14      12.15 |       8.9350
VAKKO   |    208.19       N/A    208.19  |       1.13       0.60 |       6.7543
BIGTK   |    215.48       N/A    215.48  |       6.30      10.49 |      10.0132
BIGCH   |    233.67       N/A    233.67  |       2.67       0.80 |       8.3582
BMSCH   |    238.17       N/A    238.17  |       1.00       0.63 |       7.5677
VAKFA   |    240.20       N/A    240.20  |       1.47       1.23 |       7.8960
OBASE   |    240.38       N/A    240.38  |       2.28       2.09 |       8.3682
EMNIS   |    248.39       N/A    248.39  |       4.65       2.02 |       9.9032
CEOEM   |    262.20       N/A    262.20  |       2.60       1.24 |       9.1669
HEDEF   |    264.66       N/A    264.66  |      75.68     174.73 |      39.5386
ALFAS   |    265.33       N/A    265.33  |       2.99       2.46 |       9.4994
INVEO   |    277.67       N/A    277.67  |       0.81     -19.75 |       8.8114
DSTKF   |    277.97       N/A    277.97  |      91.42     175.79 |      44.3580
MAALT   |    306.41       N/A    306.41  |       2.06     223.38 |      14.6135
TSGYO   |    332.00       N/A    332.00  |       0.70      17.34 |      10.4953
GUBRF   |     20.81   1265.71    394.28  |       4.17       2.61 |      13.9442
KRDMB   |    562.40     14.89    398.15  |      16.81       2.74 |      21.0115
EREGL   |    596.57      6.78    419.63  |       0.95       1.31 |      12.8905
NUHCM   |    450.20       N/A    450.20  |       1.45       1.91 |      14.0780
INTEK   |    469.41       N/A    469.41  |      12.28       4.23 |      20.6435
EKGYO   |    257.75   1031.00    489.73  |       0.54       0.83 |      14.7194
GOLTS   |    496.15       N/A    496.15  |       0.59       0.85 |      14.9349
TRHOL   |    539.81       N/A    539.81  |    1110.16     106.61 |     314.6020
ALTNY   |    563.33       N/A    563.33  |       3.66       5.90 |      18.6977
PKENT   |    668.18       N/A    668.18  |      76.36      92.83 |      63.5090
EFOR    |    704.50       N/A    704.50  |       5.88       2.34 |      24.0027
TARKM   |    769.70       N/A    769.70  |       3.54       5.18 |      24.6878
GATEG   |    887.10       N/A    887.10  |       8.18       6.79 |      30.7270
KRTEK   |   1159.00       N/A   1159.00  |       0.48       0.56 |      34.3640
SMRTG   |   1162.00       N/A   1162.00  |       4.55       2.17 |      36.7221
MARBL   |   1300.00       N/A   1300.00  |       1.25       0.89 |      38.9408
TURGG   |   1398.00       N/A   1398.00  |       1.62        N/A |      42.2065
KUTPO   |   1463.33       N/A   1463.33  |      45.63       0.81 |      68.1517
KLKIM   |   1497.00       N/A   1497.00  |       1.94       1.31 |      45.1220
PAPIL   |   1592.00       N/A   1592.00  |       7.63      32.90 |      51.6807
BLUME   |   1619.00       N/A   1619.00  |       5.16      17.54 |      50.8074
EGEPO   |   1883.00       N/A   1883.00  |       4.48       6.69 |      57.9777
MAKIM   |   1954.00       N/A   1954.00  |       1.77       1.53 |      58.4742
POLTK   |   3310.56       N/A   3310.56  |     652.36     369.12 |     384.6852
INGRM   |   3412.50       N/A   3412.50  |       4.91       0.34 |     103.0762
MMCAS   |   5920.00       N/A   5920.00  |        N/A     103.64 |     181.6904
KSTUR   |   9821.43       N/A   9821.43  |      13.74      25.51 |     296.9355
ODINE   |   9968.42       N/A   9968.42  |      94.26      91.13 |     346.8559
ISKUR   | 10901162.00       N/A 10901162.00  |  222657.66        N/A |  443084.3248
ADEL    |       N/A       N/A       N/A  |       6.38       3.24 |       6.5163
ADGYO   |       N/A       N/A       N/A  |       1.85      35.22 |       4.6636
AGHOL   |       N/A      0.22       N/A  |       0.65       0.12 |       3.3034
AGROT   |       N/A       N/A       N/A  |       0.89       2.94 |       3.4874
AKENR   |       N/A       N/A       N/A  |       0.59       0.42 |       3.2766
AKHAN   |       N/A       N/A       N/A  |       1.77       1.19 |       3.9371
AKSUE   |       N/A       N/A       N/A  |       3.31      36.24 |       5.4855
AKYHO   |       N/A       N/A       N/A  |       0.61       5.92 |       3.3937
ALCAR   |       N/A       N/A       N/A  |       4.17       1.12 |       5.2584
ALCTL   |       N/A       N/A       N/A  |       2.01       1.28 |       4.0713
ALGYO   |       N/A       N/A       N/A  |       0.47      14.32 |       3.4839
ALKA    |       N/A       N/A       N/A  |       3.13       2.50 |       4.7123
ALKIM   |       N/A       N/A       N/A  |     121.95       1.09 |      36.9789
ALKLC   |       N/A       N/A       N/A  |      14.51       7.42 |      10.2460
ANELE   |       N/A       N/A       N/A  |      12.98       4.62 |       9.8069
ANGEN   |       N/A       N/A       N/A  |       1.33       3.13 |       3.7332
ARCLK   |       N/A      6.49       N/A  |       0.83       0.13 |       3.3995
ARENA   |       N/A       N/A       N/A  |       1.31       0.09 |       3.6625
ARFYE   |       N/A       N/A       N/A  |       2.76      12.65 |       4.7100
