====================== TABLE 1: ALPHABETICAL TICKER ORDER ======================

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
AKCNS   |     68.79      7.96     50.54  |       1.60       1.77 |       2.4033
TURGG   |   1396.00       N/A   1396.00  |       1.61        N/A |      42.1451
MOBTL   |     19.17       N/A     19.17  |       1.62       0.84 |       1.4709
AVHOL   |       N/A       N/A       N/A  |       1.63       3.36 |       3.9057
ENERY   |     15.24       N/A     15.24  |       1.63       2.72 |       1.4007
DAPGM   |     25.23       N/A     25.23  |       1.65       3.11 |       1.7127
LMKDC   |      9.03       N/A      9.03  |       1.65       1.64 |       1.0307
HURGZ   |       N/A       N/A       N/A  |       1.67       3.30 |       3.9257
BTCIM   |       N/A       N/A       N/A  |       1.68       2.36 |       3.9137
BVSAN   |       N/A       N/A       N/A  |       1.69       1.34 |       3.8976
SUNTK   |     22.27       N/A     22.27  |       1.73       1.05 |       1.6288
ISMEN   |      8.02       N/A      8.02  |       1.73       0.03 |       0.9534
KLSYN   |     17.46       N/A     17.46  |       1.74       3.17 |       1.5319
PCILT   |      8.03       N/A      8.03  |       1.75       0.34 |       0.9633
DCTTR   |       N/A       N/A       N/A  |       1.76       3.29 |       3.9730
AKHAN   |       N/A       N/A       N/A  |       1.77       1.19 |       3.9365
MAKIM   |   1955.00       N/A   1955.00  |       1.77       1.53 |      58.5041
DNISI   |     65.82       N/A     65.82  |       1.77       5.02 |       3.0106
KLYPV   |       N/A       N/A       N/A  |       1.77       3.40 |       3.9843
KOTON   |      7.10       N/A      7.10  |       1.78       0.37 |       0.9130
TBORG   |     14.34       N/A     14.34  |       1.80       1.04 |       1.3983
RUZYE   |       N/A       N/A       N/A  |       1.80       8.75 |       4.1080
LUKSK   |     58.83       N/A     58.83  |       1.81       6.34 |       2.8536
AHGAZ   |     28.28       N/A     28.28  |       1.81       1.64 |       1.8612
FROTO   |      9.62      0.46      6.87  |       1.81       0.37 |       0.9051
OFSYM   |     30.00       N/A     30.00  |       1.83       0.47 |       1.8955
KRPLS   |       N/A       N/A       N/A  |       1.83       0.82 |       3.9627
AYES    |      5.46       N/A      5.46  |       1.85       0.47 |       0.8251
RYSAS   |     12.06       N/A     12.06  |       1.85       3.52 |       1.3141
ADGYO   |       N/A       N/A       N/A  |       1.85      35.29 |       4.6668
MERCN   |     33.06       N/A     33.06  |       1.86       1.72 |       2.0304
SKYMD   |       N/A       N/A       N/A  |       1.86       0.04 |       3.9658
MOPAS   |     43.14       N/A     43.14  |       1.87       0.49 |       2.3068
HEKTS   |       N/A       N/A       N/A  |       1.89       5.04 |       4.0824
ERSU    |       N/A       N/A       N/A  |       1.89       6.75 |       4.1177
TDGYO   |     82.37       N/A     82.37  |       1.90     315.05 |       9.7682
KOPOL   |       N/A       N/A       N/A  |       1.90       1.68 |       4.0209
IDGYO   |     10.04       N/A     10.04  |       1.92      29.19 |       1.7142
GARFA   |      4.82       N/A      4.82  |       1.93       3.05 |       0.8555
BEYAZ   |       N/A       N/A       N/A  |       1.93       0.13 |       4.0065
HRKET   |       N/A       N/A       N/A  |       1.93       1.99 |       4.0437
UCAYM   |    125.26       N/A    125.26  |       1.94       2.70 |       4.8024
KLKIM   |   1501.00       N/A   1501.00  |       1.94       1.31 |      45.2390
SEGMN   |     34.03       N/A     34.03  |       1.94       3.26 |       2.1328
YGGYO   |     11.37       N/A     11.37  |       1.94      17.94 |       1.5796
GLCVY   |     13.54       N/A     13.54  |       1.95       1.02 |       1.3841
ELITE   |     25.03       N/A     25.03  |       1.96       1.80 |       1.8500
GOODY   |       N/A       N/A       N/A  |       1.97       0.18 |       4.0263
SKBNK   |     13.70       N/A     13.70  |       1.97       2.31 |       1.4250
SEYKM   |    163.00       N/A    163.00  |       1.98       3.90 |       5.9588
HATSN   |       N/A       N/A       N/A  |       1.98       2.73 |       4.0838
DAGI    |       N/A       N/A       N/A  |       1.98       1.03 |       4.0510
OTTO    |    150.00       N/A    150.00  |       1.99       3.55 |       5.5781
TERA    |     19.17       N/A     19.17  |       2.01       0.29 |       1.6732
ALCTL   |       N/A       N/A       N/A  |       2.01       1.28 |       4.0707
YKSLN   |      4.09       N/A      4.09  |       2.02       1.29 |       0.7957
BRSAN   |     43.63       N/A     43.63  |       2.02       1.02 |       2.4164
MEKAG   |       N/A       N/A       N/A  |       2.03       1.08 |       4.0789
MAALT   |    300.00       N/A    300.00  |       2.04     218.71 |      14.3173
MPARK   |     14.38      8.81     12.71  |       2.04       1.48 |       1.3619
SARKY   |     75.71       N/A     75.71  |       2.05       0.31 |       3.3629
BJKAS   |       N/A       N/A       N/A  |       2.08       1.41 |       4.1135
BYDNR   |       N/A       N/A       N/A  |       2.09       0.76 |       4.1038
KCAER   |    124.42       N/A    124.42  |       2.09       1.23 |       4.8334
INFO    |      5.79       N/A      5.79  |       2.09       0.32 |       0.9038
GESAN   |     30.26       N/A     30.26  |       2.10       1.45 |       2.0736
EGPRO   |     16.03       N/A     16.03  |       2.10       1.66 |       1.5962
FENER   |       N/A       N/A       N/A  |       2.11       1.81 |       4.1395
SONME   |       N/A       N/A       N/A  |       2.14      48.80 |       5.0954
EKIZ    |       N/A       N/A       N/A  |       2.15       2.05 |       4.1624
BULGS   |      5.70       N/A      5.70  |       2.18       8.04 |       1.0741
MAVI    |     16.25      2.32     12.07  |       2.19       0.63 |       1.3422
GLYHO   |      6.79       N/A      6.79  |       2.22       1.27 |       1.0204
DGNMO   |       N/A       N/A       N/A  |       2.24       0.24 |       4.1794
TURSG   |      5.79      1.77      4.59  |       2.26       1.32 |       0.8876
FORTE   |      2.59       N/A      2.59  |       2.27       3.36 |       0.8017
CUSAN   |       N/A       N/A       N/A  |       2.27       0.66 |       4.2050
OBASE   |    240.00       N/A    240.00  |       2.28       2.09 |       8.3551
ENSRI   |       N/A       N/A       N/A  |       2.28       7.89 |       4.3537
EGEEN   |     29.66       N/A     29.66  |       2.29       4.27 |       2.2156
ORGE    |     12.11     11.77     12.01  |       2.29       2.41 |       1.3980
BIMAS   |     20.55      6.94     16.46  |       2.32       0.59 |       1.6560
ZGYO    |       N/A       N/A       N/A  |       2.32     621.56 |      16.6498
EBEBK   |     63.29       N/A     63.29  |       2.33       0.41 |       3.1516
CASA    |       N/A       N/A       N/A  |       2.33      -1.06 |       4.4248
KNFRT   |       N/A       N/A       N/A  |       2.34       0.51 |       4.2367
ETILR   |       N/A       N/A       N/A  |       2.37        N/A |       4.4447
DESPC   |       N/A       N/A       N/A  |       2.38       0.12 |       4.2544
TABGD   |     23.28       N/A     23.28  |       2.39       1.20 |       2.0214
KMPUR   |    111.71       N/A    111.71  |       2.41       0.70 |       4.6229
SUWEN   |       N/A       N/A       N/A  |       2.41       0.47 |       4.2761
EGEGY   |      4.93       N/A      4.93  |       2.41       1.30 |       0.9478
SMART   |       N/A       N/A       N/A  |       2.42       6.16 |       4.3966
CWENE   |     15.31       N/A     15.31  |       2.45       2.27 |       1.6489
SEKUR   |     61.35       N/A     61.35  |       2.49       1.15 |       3.1965
GRSEL   |     15.78       N/A     15.78  |       2.51       2.70 |       1.7039
LXGYO   |       N/A       N/A       N/A  |       2.53       6.33 |       4.4566
EKOS    |       N/A       N/A       N/A  |       2.56       3.23 |       4.4131
ISYAT   |    117.14       N/A    117.14  |       2.56       1.35 |       4.8812
DITAS   |       N/A       N/A       N/A  |       2.57       2.14 |       4.3974
ACSEL   |      0.02       N/A      0.02  |       2.57       1.95 |       0.6832
TTRAK   |       N/A      3.86       N/A  |       2.58       0.93 |       4.3800
LOGO    |     19.03     10.41     16.44  |       2.62       2.19 |       1.7616
CEOEM   |    264.20       N/A    264.20  |       2.62       1.25 |       9.2368
BRLSM   |       N/A       N/A       N/A  |       2.63       0.82 |       4.4033
GIPTA   |      4.26       N/A      4.26  |       2.63       4.05 |       1.0141
GEDIK   |     10.94       N/A     10.94  |       2.63       0.03 |       1.3660
TOASO   |     13.47      9.80     12.37  |       2.65       0.39 |       1.4701
KLNMA   |      9.90       N/A      9.90  |       2.65       5.34 |       1.4098
AZTEK   |       N/A       N/A       N/A  |       2.65       0.55 |       4.4107
DURDO   |       N/A       N/A       N/A  |       2.66       1.02 |       4.4237
BIGCH   |    235.33       N/A    235.33  |       2.69       0.81 |       8.4199
EMKEL   |     55.97       N/A     55.97  |       2.72       2.93 |       3.2018
ARFYE   |       N/A       N/A       N/A  |       2.74      12.59 |       4.6999
DERIM   |     21.41       N/A     21.41  |       2.75       0.47 |       2.0815
CCOLA   |     13.17      8.87     11.88  |       2.79       1.21 |       1.4890
DUNYH   |    156.11       N/A    156.11  |       2.80      31.24 |       6.7588
EUHOL   |       N/A       N/A       N/A  |       2.82   -3671.22 |       4.6947
GLBMD   |       N/A       N/A       N/A  |       2.84       0.06 |       4.5061
YBTAS   |      9.51       N/A      9.51  |       2.90       2.61 |       1.3925
VSNMD   |       N/A       N/A       N/A  |       2.91       8.21 |       4.7036
TATEN   |     69.70       N/A     69.70  |       2.91       5.47 |       3.7590
GLRMK   |     16.72       N/A     16.72  |       2.94       1.21 |       1.8408
ALFAS   |    265.89       N/A    265.89  |       3.00       2.47 |       9.5186
FONET   |     27.15       N/A     27.15  |       3.00       5.66 |       2.5614
ZERGY   |       N/A       N/A       N/A  |       3.06      24.09 |       5.1036
OZSUB   |      9.38       N/A      9.38  |       3.07       1.28 |       1.3992
GZNMI   |       N/A       N/A       N/A  |       3.09       1.25 |       4.6647
IZINV   |    128.33       N/A    128.33  |       3.11      12.10 |       5.7248
ALKA    |       N/A       N/A       N/A  |       3.13       2.50 |       4.7105
VBTYZ   |     25.46       N/A     25.46  |       3.13       1.30 |       2.4551
MTRKS   |     12.21       N/A     12.21  |       3.13       2.29 |       1.6194
KBORU   |     26.78       N/A     26.78  |       3.13       2.73 |       2.5658
MEYSU   |       N/A       N/A       N/A  |       3.17       3.13 |       4.7462
AYCES   |       N/A       N/A       N/A  |       3.22      39.93 |       5.5106
ESCAR   |       N/A       N/A       N/A  |       3.22       5.91 |       4.8308
RAYSG   |      7.73       N/A      7.73  |       3.24       0.93 |       1.3281
BURCE   |       N/A       N/A       N/A  |       3.25       5.05 |       4.8296
ISKPL   |     18.57       N/A     18.57  |       3.27       3.54 |       2.0902
AKSUE   |       N/A       N/A       N/A  |       3.29      36.03 |       5.4718
SAYAS   |     16.77       N/A     16.77  |       3.30       2.01 |       1.9493
BIOEN   |      4.90       N/A      4.90  |       3.35       3.17 |       1.2174
ICUGS   |       N/A       N/A       N/A  |       3.35       7.12 |       4.9273
ATATR   |     26.51       N/A     26.51  |       3.35       4.96 |       2.6532
NIBAS   |       N/A       N/A       N/A  |       3.38      12.35 |       5.0444
BALSU   |     23.32       N/A     23.32  |       3.47       1.22 |       2.3999
TRALT   |     29.38       N/A     29.38  |       3.49       7.37 |       2.9224
MIATK   |       N/A       N/A       N/A  |       3.51       7.68 |       5.0238
GRTHO   |     17.67       N/A     17.67  |       3.51       4.65 |       2.1133
TARKM   |    768.94       N/A    768.94  |       3.53       5.17 |      24.6596
GENIL   |     66.86       N/A     66.86  |       3.58       2.02 |       3.9785
SMRVA   |     16.47       N/A     16.47  |       3.62       4.82 |       2.0675
ALTNY   |    563.00       N/A    563.00  |       3.65       5.90 |      18.6854
HTTBT   |     29.24       N/A     29.24  |       3.75       6.57 |       2.9612
ICBCT   |     13.42       N/A     13.42  |       3.80       3.32 |       1.8848
BRKVY   |     13.29       N/A     13.29  |       3.81       2.78 |       1.8691
SELEC   |    113.21     25.51     86.90  |       3.83       0.75 |       4.6777
ANHYT   |      6.74      6.08      6.54  |       3.85       1.08 |       1.4077
SAFKR   |     31.80       N/A     31.80  |       3.89       2.54 |       3.0805
PATEK   |     29.95       N/A     29.95  |       3.93       6.51 |       3.0504
BARMA   |     78.98       N/A     78.98  |       3.98       4.78 |       4.6073
KONYA   |     70.83       N/A     70.83  |       3.98       3.01 |       4.3332
PSDTC   |     24.39       N/A     24.39  |       4.04      12.63 |       2.8413
MACKO   |      8.60       N/A      8.60  |       4.13       3.38 |       1.6578
PAMEL   |       N/A       N/A       N/A  |       4.15      37.94 |       5.9798
ALCAR   |       N/A       N/A       N/A  |       4.16       1.12 |       5.2496
GUBRF   |     20.84   1267.86    394.95  |       4.19       2.61 |      13.9756
FZLGY   |       N/A       N/A       N/A  |       4.21       6.01 |       5.3768
EUYO    |       N/A       N/A       N/A  |       4.30       5.83 |       5.4239
AGESA   |      7.36     13.83      9.30  |       4.34       0.93 |       1.7057
EUPWR   |     67.08       N/A     67.08  |       4.37       3.54 |       4.4463
VANGD   |       N/A       N/A       N/A  |       4.44      15.52 |       5.6944
MEGMT   |     11.52       N/A     11.52  |       4.47       0.79 |       1.8780
BSOKE   |       N/A       N/A       N/A  |       4.49      10.49 |       5.6184
EGEPO   |   1890.00       N/A   1890.00  |       4.49       6.71 |      58.1945
KLRHO   |    109.40       N/A    109.40  |       4.56      13.44 |       5.9964
SMRTG   |   1172.00       N/A   1172.00  |       4.59       2.19 |      37.0403
TCKRC   |     20.42       N/A     20.42  |       4.60       8.25 |       2.6364
SUMAS   |    145.73       N/A    145.73  |       4.62       3.56 |       6.8977
ATATP   |      9.95       N/A      9.95  |       4.63       0.79 |       1.8161
EMNIS   |    248.39       N/A    248.39  |       4.65       2.02 |       9.9032
KARTN   |       N/A       N/A       N/A  |       4.70       3.09 |       5.5900
CLEBI   |     11.76    171.88     59.79  |       4.75       1.99 |       4.4113
KRDMA   |    160.00       N/A    160.00  |       4.78       0.75 |       7.3471
BAHKM   |       N/A       N/A       N/A  |       4.81       6.51 |       5.7191
KRDMD   |    163.76       N/A    163.76  |       4.89       0.74 |       7.5192
GEREL   |     30.61       N/A     30.61  |       4.91       6.16 |       3.3320
BAYRK   |       N/A       N/A       N/A  |       4.92       5.00 |       5.7450
INGRM   |   3437.50       N/A   3437.50  |       4.96       0.34 |     103.8363
BLUME   |   1609.00       N/A   1609.00  |       5.13      17.43 |      50.4953
YAPRK   |    199.67       N/A    199.67  |       5.16      12.17 |       8.9547
INVES   |     40.50       N/A     40.50  |       5.26     108.51 |       6.1066
INTEM   |       N/A       N/A       N/A  |       5.32       2.56 |       5.9204
POLHO   |       N/A       N/A       N/A  |       5.36       2.56 |       5.9404
CVKMD   |       N/A       N/A       N/A  |       5.52      17.86 |       6.3332
KRONT   |     27.93       N/A     27.93  |       5.57       7.45 |       3.3480
SANFM   |    108.38       N/A    108.38  |       5.69       2.70 |       6.3684
OTKAR   |       N/A       N/A       N/A  |       5.71       0.87 |       6.1007
ASELS   |     49.61       N/A     49.61  |       5.72       8.70 |       4.7807
SVGYO   |       N/A       N/A       N/A  |       5.73     323.38 |      12.5576
MAGEN   |       N/A       N/A       N/A  |       5.78      60.22 |       7.3222
SDTTR   |    127.37       N/A    127.37  |       5.82       6.38 |       7.0721
EFOR    |    703.50       N/A    703.50  |       5.87       2.34 |      23.9687
QNBTR   |     22.88       N/A     22.88  |       5.93       8.31 |       3.1300
COSMO   |     22.57       N/A     22.57  |       6.04       1.48 |       2.9993
CRDFA   |     12.26       N/A     12.26  |       6.09      10.09 |       2.5168
SODSN   |       N/A       N/A       N/A  |       6.09       4.11 |       6.3755
PKART   |     32.74       N/A     32.74  |       6.28       1.13 |       3.7114
BIGTK   |    215.48       N/A    215.48  |       6.30      10.49 |      10.0132
OYAYO   |     96.31       N/A     96.31  |       6.37       2.35 |       6.3828
ADEL    |       N/A       N/A       N/A  |       6.41       3.25 |       6.5320
ARMGD   |     49.57       N/A     49.57  |       6.44       3.66 |       4.8912
